
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1968"	"16.587"	"17.279"	"21.183"	"22.292"	"23.177"	"24.726"	"23.538"	"21.865"	"22.964"	"23.322"	"21.53"	"18.711"
"1969"	"17.431"	"18.311"	"21.559"	"23.13"	"24.576"	"24.72"	"23.526"	"22.193"	"22.34"	"23.054"	"22.266"	"19.294"
"1970"	"17.335"	"18.065"	"20.49"	"22.519"	"24.377"	"24.131"	"22.991"	"22.362"	"22.139"	"23.199"	"20.318"	"17.599"
"1971"	"16.609"	"17.912"	"20.864"	"23.532"	"23.558"	"23.36"	"22.38"	"21.542"	"22.534"	"20.969"	"20.346"	"18.267"
"1972"	"17.191"	"16.049"	"20.569"	"21.858"	"24.019"	"24.57"	"23.245"	"22.51"	"22.995"	"23.13"	"21.111"	"18.606"
"1973"	"16.095"	"18.845"	"21.023"	"23.909"	"24.526"	"24.63"	"22.689"	"22.116"	"21.629"	"22.49"	"20.778"	"18.264"
"1974"	"17.399"	"17.098"	"21.861"	"23.12"	"24.101"	"24.879"	"23.6"	"23.096"	"23.423"	"22.899"	"20.24"	"18.033"
"1975"	"16.723"	"17.82"	"20.084"	"22.653"	"24.17"	"24.414"	"23.051"	"22.208"	"22.316"	"22.733"	"19.588"	"18.455"
"1976"	"17.255"	"18.393"	"21.122"	"21.954"	"23.046"	"24.112"	"22.928"	"22.147"	"21.679"	"23.453"	"22.067"	"18.877"
"1977"	"17.29"	"18.518"	"22.828"	"23.356"	"24.413"	"23.548"	"22.543"	"22.732"	"22.151"	"23.577"	"22.224"	"18.999"
"1978"	"16.808"	"18.011"	"19.488"	"22.67"	"24.391"	"23.616"	"22.758"	"22.332"	"21.389"	"22.985"	"21.331"	"19.424"
"1979"	"17.568"	"17.396"	"19.384"	"22.763"	"23.213"	"24.501"	"23.419"	"22.026"	"22.712"	"21.744"	"21.765"	"18.897"
"1980"	"17.435"	"18.71"	"20.796"	"23.766"	"24.829"	"23.242"	"22.494"	"22.245"	"22.763"	"23.493"	"21.792"	"18.669"
"1981"	"17.785"	"18.772"	"21.272"	"22.542"	"23.765"	"24.707"	"22.898"	"21.836"	"22.499"	"23.174"	"19.579"	"18.651"
"1982"	"17.79"	"18.193"	"20.166"	"22.306"	"23.721"	"25.176"	"23.603"	"22.692"	"22.982"	"24.364"	"21.287"	"19.294"
"1983"	"17.176"	"17.414"	"19.701"	"21.209"	"24.156"	"24.586"	"23.507"	"22.639"	"23.033"	"22.511"	"20.473"	"18.301"
"1984"	"16.203"	"17.103"	"21.949"	"23.758"	"24.65"	"24.558"	"22.826"	"21.671"	"22.277"	"22.926"	"20.849"	"18.886"
"1985"	"17.048"	"18.467"	"21.987"	"22.469"	"24.171"	"24.472"	"22.946"	"22.193"	"22.855"	"22.905"	"21.446"	"18.854"
"1986"	"17.608"	"18.115"	"21.052"	"23.093"	"24.822"	"24.126"	"23.627"	"22.102"	"22.42"	"23.389"	"21.68"	"17.958"
"1987"	"17.827"	"19.167"	"21.278"	"23.051"	"24.465"	"25.043"	"24.349"	"23.956"	"24.441"	"24.929"	"22.667"	"19.426"
"1988"	"18.893"	"19.221"	"20.563"	"23.501"	"24.928"	"24.775"	"22.761"	"22.758"	"23.14"	"22.881"	"20.824"	"19.021"
"1989"	"16.471"	"17.903"	"20.332"	"22.639"	"24.605"	"23.792"	"22.55"	"22.119"	"22.949"	"22.991"	"22.211"	"18.902"
"1990"	"18.717"	"18.752"	"19.662"	"22.431"	"24.422"	"24.607"	"23.04"	"22.109"	"22.142"	"22.609"	"21.362"	"18.698"
"1991"	"16.823"	"17.865"	"20.988"	"22.831"	"24.49"	"25.134"	"22.872"	"22.053"	"21.639"	"22.962"	"21.442"	"18.81"
"1992"	"17.54"	"17.803"	"20.44"	"21.883"	"24.379"	"25.085"	"23.386"	"22.52"	"22.309"	"22.471"	"21.081"	"19.584"
"1993"	"18.088"	"19.526"	"20.75"	"22.449"	"24.452"	"24.838"	"23.294"	"23.601"	"22.777"	"23.172"	"22.081"	"19.707"
"1994"	"18.137"	"18.267"	"22.194"	"22.559"	"24.614"	"24.234"	"22.089"	"21.955"	"21.879"	"23.139"	"21.566"	"18.118"
"1995"	"16.852"	"18.585"	"20.027"	"22.592"	"25.038"	"25.684"	"23.463"	"23.167"	"23.119"	"23.7"	"20.859"	"19.087"
"1996"	"17.632"	"19.227"	"22.177"	"22.988"	"24.535"	"24.719"	"23.16"	"22.058"	"22.625"	"22.798"	"20.375"	"19.294"
"1997"	"16.939"	"17.823"	"21.363"	"22.333"	"23.674"	"24.076"	"23.364"	"22.489"	"22.645"	"22.781"	"21.86"	"18.037"
"1998"	"17.395"	"18.2"	"20.706"	"23.772"	"24.989"	"24.74"	"23.323"	"22.927"	"22.463"	"23.708"	"21.343"	"18.977"
"1999"	"17.048"	"19.25"	"21.314"	"23.123"	"24.198"	"23.904"	"22.896"	"22.353"	"22.799"	"22.741"	"21.49"	"18.991"
"2000"	"17.901"	"17.902"	"20.7"	"22.57"	"24.183"	"24.527"	"22.397"	"22.262"	"22.574"	"23.553"	"22.02"	"19.495"
"2001"	"17.551"	"18.105"	"20.947"	"23.254"	"24.462"	"23.509"	"22.193"	"22.519"	"22.885"	"23.418"	"21.868"	"19.534"
"2002"	"17.449"	"18.75"	"21.938"	"23.662"	"25.106"	"24.479"	"23.278"	"22.008"	"22.247"	"23.774"	"21.865"	"19.624"
